"","Alpha.1.Antichymotrypsin..AACT...ug.ml.","Alpha.1.Antitrypsin..AAT...mg.mL.","Angiotensin.Converting.Enzyme..ACE...ng.ml.","Adiponectin..ug.mL.","Angiopoietin.2..ANG.2...ng.mL.","Angiotensinogen..ng.mL.","Apolipoprotein.A.IV..Apo.A.IV...ug.ml.","Apolipoprotein.C.I..Apo.C.I...ng.ml.","Apolipoprotein.E..Apo.E...ug.ml.","Apolipoprotein.H..Apo.H...ug.mL.","AXL.Receptor.Tyrosine.Kinase..AXL...ng.mL.","Beta.2.Microglobulin..B2M...ug.mL.","Brain.Derived.Neurotrophic.Factor..BDNF...ng.mL.","Bone.Morphogenetic.Protein.6..BMP.6...ng.mL.","Complement.C3..C3...mg.mL.","Clusterin..CLU...ug.ml.","Complement.Factor.H..ug.ml.","Cortisol..Cortisol...ng.ml.","C.peptide..ng.ml.","Epidermal.Growth.Factor.Receptor..EGFR...ng.mL.","E.Selectin..ng.mL.","Factor.VII..ng.mL.","Fibrinogen..mg.mL.","Ferritin..FRTN...ng.mL.","Chemokine.CC.4..HCC.4...ng.mL.","Hepatocyte.Growth.Factor..HGF...ng.mL.","Immunoglobulin.A..IgA...mg.mL.","Insulin.like.Growth.Factor.Binding.Prote..ng.mL.","Interleukin.6.receptor..IL.6r...ng.mL.","Leptin..ng.mL.","Matrix.Metalloproteinase.9..total..MMP.9..ng.ml.","Neuronal.Cell.Adhesion.Molecule..Nr.CAM...ng.mL.","Osteopontin..ng.ml.","Plasminogen.Activator.Inhibitor.1..PAI.1..ng.mL.","Pulmonary.and.Activation.Regulated.Chemo..ng.mL.","Placenta.Growth.Factor..PLGF...pg.ml.","Prolactin..PRL...ng.ml.","Receptor.for.advanced.glycosylation.end..ng.mL.","T.Cell.Specific.Protein.RANTES..RANTES...ng.mL.","Resistin..ng.ml.","Serum.Amyloid.P.Component..SAP...ug.mL.","Superoxide.Dismutase.1..Soluble..SOD.1...ng.mL.","Sortilin..ng.mL.","Thyroxine.Binding.Globulin..TBG...ug.mL.","Thrombomodulin..TM...ng.ml.","Tumor.Necrosis.Factor.Receptor.Like.2..T..ng.mL.","TNF.Related.Apoptosis.Inducing.Ligand.Re..ng.mL.","Thyroid.Stimulating.Hormone...TSH...uIU.mL.","Transthyretin..TTR...mg.dl.","Vascular.Cell.Adhesion.Molecule.1..VCAM...ng.mL.","Vitamin.K.Dependent.Protein.S..VKDPS...ug.ml."
"Alpha.1.Antichymotrypsin..AACT...ug.ml.",1,0.674071781977599,0.495280639134969,0.557227728260899,0.558402990776477,0.450434541004561,0.480433517465026,0.506902847972304,0.522772815180302,0.518337629375377,0.450165965390022,0.564880144564451,0.513320092295604,0.497001652385449,0.564505131180135,0.495940883328855,0.519960258812907,0.531689468854085,0.481241739417841,0.503581043524162,0.530887822568011,0.483586812164801,0.634172271238551,0.513301406285417,0.515451610394819,0.55111307170717,0.541804819944563,0.570152685250121,0.47718498171593,0.499399061214519,0.492478498328323,0.477462438134549,0.55600488846983,0.496431566107452,0.551235635454716,0.502820582915577,0.500253587954095,0.499869427257488,0.509038776819139,0.543817723677752,0.58359000463659,0.49997513576848,0.487860083303566,0.557233845028558,0.487729648420989,0.558975267268769,0.50803123979592,0.496931429355648,0.440283265707167,0.520351787372134,0.581909591888816
"Alpha.1.Antitrypsin..AAT...mg.mL.",0.674071781977599,1,0.471708321545022,0.56571453038152,0.544642037892143,0.480508036347344,0.480403337749225,0.559150731284058,0.52013560231789,0.632068443870933,0.51720273203797,0.604357126254183,0.503006685650443,0.466951860046344,0.679990505887951,0.558769454226938,0.535669973389742,0.511361938051007,0.519553735721582,0.497875524920085,0.527261776590897,0.50908281883227,0.680746817780917,0.468898440375437,0.544094459934116,0.608926991570791,0.579545345877826,0.513326116057882,0.542530155006429,0.517736723524808,0.548112775874227,0.563766363298728,0.517610586296574,0.484797693670208,0.554091315714767,0.462068278112283,0.464539958694705,0.538171109403157,0.497255220899485,0.531294316807952,0.602413167451879,0.483151511482941,0.531123483224759,0.674617892124059,0.511993816566366,0.62788099769888,0.527465746699645,0.513936127352477,0.495398839383049,0.596915910199219,0.582080168925007
"Angiotensin.Converting.Enzyme..ACE...ng.ml.",0.495280639134969,0.471708321545022,1,0.499723362507757,0.57112781807995,0.553162312422526,0.555167594614721,0.494864424915092,0.514204316506599,0.519033892062585,0.564528582525057,0.540858493384269,0.458825741288005,0.499264393150044,0.483307479419406,0.515357496253303,0.489053294942999,0.499717734174107,0.511626193274051,0.514264264562315,0.59516059081022,0.544679470217324,0.47627554380261,0.473598482180171,0.492189720789436,0.518394923552462,0.490886274934973,0.50297755776144,0.544607724009062,0.52755975496747,0.506911599596377,0.551587136637736,0.530213902280466,0.455867778722071,0.509120582601846,0.483632376156044,0.524075689511282,0.558435804241966,0.469708210927337,0.522688732299829,0.488917347360529,0.500896258823267,0.523487673615102,0.463538083053639,0.584581662924788,0.535005419708123,0.488309012666469,0.494199046811361,0.509861322632554,0.550851085826237,0.498525954393397
"Adiponectin..ug.mL.",0.557227728260899,0.56571453038152,0.499723362507757,1,0.592004298180541,0.552909479501849,0.514160504244089,0.632946136716679,0.50814386973145,0.490599906391321,0.503732883365186,0.503388205904769,0.528148153172935,0.506621111693175,0.410660883463899,0.509147028967203,0.489834992425566,0.526170567381888,0.345186656623448,0.510340124875265,0.416558893343806,0.460635186644151,0.463470849132768,0.459560534938003,0.479988386560483,0.492834608241612,0.491620904340081,0.678097970710245,0.494993903783841,0.38065805866702,0.45371263261869,0.521642891410798,0.552443906818298,0.415987270475214,0.473806394035668,0.506826048651671,0.495454151149635,0.587978342622058,0.534681812834305,0.483233142679517,0.399093518876966,0.461455040235955,0.489947590389333,0.50036122667172,0.530555319261801,0.519626523594512,0.5179552756979,0.511252309678554,0.469325507899306,0.578653467608266,0.49145373245372
"Angiopoietin.2..ANG.2...ng.mL.",0.558402990776477,0.544642037892143,0.57112781807995,0.592004298180541,1,0.54331329938486,0.493690430661323,0.438557216949019,0.572452537143523,0.526851008193751,0.594624383876987,0.638509830240993,0.485831551568259,0.551867972267709,0.492744420943107,0.490215618115242,0.512094885457073,0.603078188036813,0.547396967849245,0.54023005696296,0.601955896690211,0.557636459516726,0.56414681722962,0.504193096370315,0.593337422419909,0.665381736554436,0.504199600035338,0.746575524159373,0.573512967805755,0.505280633620541,0.500406507606021,0.59735327849669,0.637757782968482,0.462320828706024,0.598836267164959,0.55562909531138,0.598465887429731,0.578876856974789,0.496422171061547,0.605712252002102,0.548552544031025,0.532380495683901,0.566856948486667,0.5119543417752,0.643442430949511,0.676987100281862,0.568286072488305,0.527824069443442,0.451451764185087,0.61606933792516,0.552495608962413
"Angiotensinogen..ng.mL.",0.450434541004561,0.480508036347344,0.553162312422526,0.552909479501849,0.54331329938486,1,0.57127125358312,0.446643298048356,0.444830635188744,0.487079693028436,0.518201315913507,0.538434190098094,0.522566608479236,0.464052515333896,0.476579085712597,0.59474279828294,0.520881346553767,0.529270483606129,0.45388465022411,0.422988833723547,0.489935591398738,0.495594166262112,0.484502783730243,0.536398710988411,0.512822910898811,0.532679519670124,0.50784386885605,0.566947730855906,0.503325022994812,0.467958663660606,0.48938176101638,0.493421963754064,0.495640405963713,0.507226460122243,0.512328658279204,0.546556714192815,0.478485578550091,0.478528989292975,0.53069552217013,0.522035270906876,0.524044804994679,0.454430632847641,0.529266780249877,0.488254574499638,0.546638335696962,0.557482857911312,0.547319883755002,0.477240924670671,0.563824866009183,0.535468148294586,0.451803201047433
"Apolipoprotein.A.IV..Apo.A.IV...ug.ml.",0.480433517465026,0.480403337749225,0.555167594614721,0.514160504244089,0.493690430661323,0.57127125358312,1,0.516914231425256,0.499343984609273,0.542073827783682,0.522376063219918,0.513284349658606,0.499063409331194,0.501342738004965,0.493981016552199,0.575953463274927,0.525129603514835,0.493628244183827,0.501479289104331,0.487635969614766,0.476270228201726,0.554179118866778,0.487262479590267,0.448450892708518,0.504050678603171,0.510131543735258,0.443043845722114,0.487070805159326,0.493863814928835,0.523119160518227,0.488782761025929,0.472085048401153,0.399896897254518,0.505381409927626,0.507359416434146,0.449462973524735,0.487165969090282,0.526582391024479,0.50455570696997,0.489296752128777,0.531650831071917,0.492395785712236,0.47920563320641,0.509415171191025,0.566591005696853,0.53557401780877,0.49857231130742,0.515052127709114,0.528418926827378,0.481988570170698,0.494208723922197
"Apolipoprotein.C.I..Apo.C.I...ng.ml.",0.506902847972304,0.559150731284058,0.494864424915092,0.632946136716679,0.438557216949019,0.446643298048356,0.516914231425256,1,0.706139790517155,0.631469242691465,0.43819236734249,0.478309305406588,0.517814230783454,0.51295423132986,0.565405863859536,0.608756130736506,0.56362610791119,0.459072428571751,0.46090319823083,0.587441780450802,0.454866085075096,0.581618317639928,0.539983276436961,0.460765660222298,0.496397649838992,0.447981553317073,0.509308567931666,0.487032344278189,0.527405242350373,0.494716251615441,0.524652025111175,0.489055625634598,0.41221750535695,0.508180679797486,0.466587358428809,0.444583987683897,0.444356657291698,0.498567123929943,0.50459583950618,0.428652191250361,0.519603309766667,0.49338327006683,0.537974142163318,0.570449452142355,0.430133302722104,0.461226902827689,0.414728131487747,0.527895027889175,0.685339064259829,0.486548510004566,0.638998725876582
"Apolipoprotein.E..Apo.E...ug.ml.",0.522772815180302,0.52013560231789,0.514204316506599,0.50814386973145,0.572452537143523,0.444830635188744,0.499343984609273,0.706139790517155,1,0.594492447104353,0.513966842391122,0.567033303887665,0.514068761617787,0.549182932596949,0.5869444709079,0.591835199003355,0.551029536063873,0.472614987009108,0.555902340394093,0.570695215273544,0.535602923909589,0.61661072035126,0.597311539417411,0.522462686986561,0.590092199234702,0.577173036602618,0.532623129553787,0.531011145381177,0.559398696913094,0.525945857026165,0.531622925256741,0.542285771121044,0.50497274499788,0.523486802736478,0.539505590802997,0.526291535369706,0.529149894447905,0.532283247991573,0.488889455756114,0.532693654028764,0.61300254740672,0.528817560283977,0.571024400846928,0.571362206342195,0.529680083591738,0.55783242356083,0.465283673708247,0.536553932833644,0.560085941685924,0.52660568044501,0.61138341668399
"Apolipoprotein.H..Apo.H...ug.mL.",0.518337629375377,0.632068443870933,0.519033892062585,0.490599906391321,0.526851008193751,0.487079693028436,0.542073827783682,0.631469242691465,0.594492447104353,1,0.564467865254094,0.65131484529992,0.440160847921422,0.539066530869478,0.663818573596719,0.679194027793116,0.618949522804846,0.488949011470359,0.585263084002023,0.53640534586446,0.526072868222436,0.584765142960366,0.635770108280582,0.508914830975655,0.597572780713449,0.602001319635611,0.484810188198984,0.448365227528626,0.564076266543435,0.568329857818634,0.514100451122743,0.539717936889817,0.510336211985391,0.476113148204594,0.549712377680504,0.472124281250311,0.536934064076796,0.566137494045623,0.44689702006596,0.558222139651906,0.637193864801525,0.471110052909496,0.492721757653057,0.646321135884895,0.651643558022239,0.642613076438256,0.507774818588089,0.517457317464415,0.687601063589694,0.586448339389036,0.638620658568756
